"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150","Создать todo POST /todos (400) doneStatus","chromium","Sat Nov 22 13:31:59 UTC 2025","passed","Sat Nov 22 13:31:59 UTC 2025","API challenge","","",""
"","149","Получить список todo GET /todos (200) ?filter","chromium","Sat Nov 22 13:31:58 UTC 2025","passed","Sat Nov 22 13:31:58 UTC 2025","API challenge","","",""
"","150","Получить список todo get /todos(200)","chromium","Sat Nov 22 13:31:58 UTC 2025","passed","Sat Nov 22 13:31:58 UTC 2025","API challenge","","",""
"","3912","Открытие фаворитной табы","chromium","Sat Nov 22 13:32:27 UTC 2025","passed","Sat Nov 22 13:32:31 UTC 2025","Регистрация","","",""
"","149","Отредактировать задание PUT /todos/{id}","chromium","Sat Nov 22 13:32:00 UTC 2025","passed","Sat Nov 22 13:32:00 UTC 2025","API challenge","","",""
"","148","Отредактировать todo с POST /todos/{id} (200)","chromium","Sat Nov 22 13:32:00 UTC 2025","passed","Sat Nov 22 13:32:00 UTC 2025","API challenge","","",""
"","152","Создать todo POST /todos (400) description too long","chromium","Sat Nov 22 13:31:59 UTC 2025","passed","Sat Nov 22 13:31:59 UTC 2025","API challenge","","",""
"","149","Отредактировать задание PUT /todos/{id} full (200)","chromium","Sat Nov 22 13:32:00 UTC 2025","passed","Sat Nov 22 13:32:00 UTC 2025","API challenge","","",""
"","226","Получить список заданий get /challenges","chromium","Sat Nov 22 13:31:57 UTC 2025","passed","Sat Nov 22 13:31:57 UTC 2025","API challenge","","",""
"","149","Получить todos/{id} (200)","chromium","Sat Nov 22 13:31:58 UTC 2025","passed","Sat Nov 22 13:31:58 UTC 2025","API challenge","","",""
"","6418","Добавление комментария","chromium","Sat Nov 22 13:32:16 UTC 2025","passed","Sat Nov 22 13:32:23 UTC 2025","Регистрация","","",""
"","157","Создать todo POST /todos (201)","chromium","Sat Nov 22 13:31:58 UTC 2025","passed","Sat Nov 22 13:31:59 UTC 2025","API challenge","","",""
"","155","Получить /todos/{id} (404)","chromium","Sat Nov 22 13:31:58 UTC 2025","passed","Sat Nov 22 13:31:58 UTC 2025","API challenge","","",""
"","4078","Пользователь может зарегистрироваться с навигацией через клавиатуру","chromium","Sat Nov 22 13:32:01 UTC 2025","passed","Sat Nov 22 13:32:05 UTC 2025","Регистрация","","",""
"","151","Создать todo POST /todos (413) content too long","chromium","Sat Nov 22 13:31:59 UTC 2025","passed","Sat Nov 22 13:31:59 UTC 2025","API challenge","","",""
"","3894","Открытие моей табы","chromium","Sat Nov 22 13:32:23 UTC 2025","passed","Sat Nov 22 13:32:27 UTC 2025","Регистрация","","",""
"","149","Создать todo POST /todos (400) extra","chromium","Sat Nov 22 13:31:59 UTC 2025","passed","Sat Nov 22 13:32:00 UTC 2025","API challenge","","",""
"","148","Отредактировать todo с POST /todos/{id} (404)","chromium","Sat Nov 22 13:32:00 UTC 2025","passed","Sat Nov 22 13:32:00 UTC 2025","API challenge","","",""
"","151","Создать todo POST /todos (201) max out content","chromium","Sat Nov 22 13:31:59 UTC 2025","passed","Sat Nov 22 13:31:59 UTC 2025","API challenge","","",""
"","4883","Создание статьи","chromium","Sat Nov 22 13:32:06 UTC 2025","passed","Sat Nov 22 13:32:11 UTC 2025","Регистрация","","",""
"","5807","Обновление статьи","chromium","Sat Nov 22 13:32:11 UTC 2025","passed","Sat Nov 22 13:32:16 UTC 2025","Регистрация","","",""
"","152","Создать todo POST /todos (400) title too long","chromium","Sat Nov 22 13:31:59 UTC 2025","passed","Sat Nov 22 13:31:59 UTC 2025","API challenge","","",""
"","151","Удалить задание Delete /todos/{id} (200)","chromium","Sat Nov 22 13:32:00 UTC 2025","passed","Sat Nov 22 13:32:00 UTC 2025","API challenge","","",""
"","149","Получить список todo GET /todo not plural","chromium","Sat Nov 22 13:31:58 UTC 2025","passed","Sat Nov 22 13:31:58 UTC 2025","API challenge","","",""
